team,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17
GB,0.010000000000000009,0.0,0.0050000000000000044,0.025000000000000022,0.020000000000000018,0.030000000000000027,0.06499999999999995,0.11499999999999999,0.08999999999999997,0.11499999999999999,0.135,0.11499999999999999,0.10500000000000001,0.07500000000000001,0.034999999999999996,0.05,0.0,0.01
HOU,0.020000000000000018,0.0,0.0050000000000000044,0.0050000000000000044,0.0,0.015000000000000013,0.04999999999999993,0.07500000000000007,0.07999999999999996,0.10499999999999998,0.16000000000000003,0.13,0.13,0.16499999999999998,0.0049999999999999975,0.045000000000000005,0.005,0.005
IND,0.015000000000000013,0.0050000000000000044,0.0050000000000000044,0.015000000000000013,0.04499999999999993,0.10000000000000009,0.08999999999999997,0.14500000000000002,0.13499999999999995,0.11000000000000004,0.09499999999999997,0.10499999999999998,0.06000000000000001,0.03,0.03,0.009999999999999998,0.0,0.005
JAX,0.020000000000000018,0.0,0.0050000000000000044,0.0,0.009999999999999898,0.04500000000000015,0.08499999999999996,0.08999999999999997,0.09999999999999998,0.14,0.13,0.12,0.10999999999999999,0.05000000000000002,0.045,0.025,0.02,0.005
KC,0.0050000000000000044,0.010000000000000009,0.0,0.010000000000000009,0.0050000000000000044,0.05499999999999994,0.050000000000000044,0.10999999999999999,0.10999999999999999,0.09000000000000008,0.16499999999999992,0.08999999999999997,0.14500000000000005,0.04999999999999999,0.05000000000000001,0.025,0.019999999999999997,0.01
LA,0.020000000000000018,0.0,0.0050000000000000044,0.0,0.0,0.0,0.0,0.019999999999999907,0.04500000000000004,0.08999999999999997,0.10000000000000009,0.13,0.22999999999999998,0.06999999999999995,0.09500000000000003,0.08000000000000002,0.044999999999999984,0.07
LAC,0.010000000000000009,0.0050000000000000044,0.010000000000000009,0.0,0.0,0.04500000000000004,0.03499999999999992,0.08000000000000007,0.09999999999999998,0.14,0.13999999999999996,0.08500000000000002,0.13999999999999996,0.09500000000000001,0.045,0.060000000000000005,0.005,0.005
LV,0.020000000000000018,0.025000000000000022,0.04999999999999993,0.10499999999999998,0.1100000000000001,0.1449999999999999,0.17000000000000004,0.09499999999999997,0.09500000000000003,0.07,0.03,0.03499999999999999,0.015000000000000006,0.009999999999999995,0.0,0.02,0.0,0.005
MIA,0.05500000000000005,0.06999999999999995,0.17999999999999994,0.17000000000000004,0.15000000000000002,0.14,0.05499999999999999,0.08499999999999999,0.0,0.055,0.010000000000000002,0.0049999999999999975,0.015000000000000001,0.0,0.0,0.0,0.0,0.01
MIN,0.0050000000000000044,0.015000000000000013,0.0,0.010000000000000009,0.030000000000000027,0.06499999999999995,0.14500000000000002,0.05499999999999994,0.09500000000000008,0.12499999999999994,0.15999999999999998,0.10000000000000003,0.06,0.05000000000000002,0.04499999999999999,0.010000000000000002,0.024999999999999998,0.005
NE,0.010000000000000009,0.0,0.015000000000000013,0.0,0.010000000000000009,0.04500000000000004,0.06499999999999995,0.07999999999999996,0.1050000000000001,0.12499999999999989,0.14,0.125,0.07500000000000001,0.08000000000000002,0.09,0.025,0.005,0.005
NO,0.020000000000000018,0.0,0.015000000000000013,0.029999999999999916,0.06500000000000006,0.07499999999999996,0.1150000000000001,0.1299999999999999,0.13,0.10000000000000003,0.125,0.044999999999999984,0.060000000000000026,0.03,0.034999999999999996,0.0,0.0,0.025
